#################################################################################
# Stacked HI 21cm Emission from DEEP2 galaxies at <z>=1.03			#
# The spectrum is plotted as Figure 2 of					#
# Chowdhury, Kanekar, Chengalur, Sethi, Dwarkhanath, 2020, Nature, xxx		#
################################################################################
#Velocity (km/s)	L_HI (Jy Mpc^2)		1 sigma error on L_HI (Jy Mpc^2)
-1455			465.57			571.58
-1365			52.68			577.97
-1275			173.46			592.36
-1185			-68.41			588.00
-1095			-273.40			618.10
-1005			-191.66			626.91
-915			66.59			617.77
-825			-410.32			618.25
-735			119.55			623.02
-645			112.32			629.23
-555			-54.12			616.66
-465			-441.89			622.69
-375			-758.10			686.07
-285			374.14			722.54
-195			663.07			715.33
-105			2864.70			732.93
-15			2246.39			737.47
75			1962.90			716.64
165			545.85			720.30
255			1048.20			712.31
345			-22.76			681.55
435			463.99			626.58
525			541.43			636.90
615			373.46			613.60
705			256.24			623.14
795			95.31			638.69
885			542.99			637.13
975			-354.55			612.73
1065			-853.77			614.90
1155			-725.97			612.13
1245			84.65			607.06
1335			449.55			587.94
1425			346.72			584.80
